dataset,config,n_obs,n_perts,n_batches,Δ Isolated labels,Δ KMeans NMI,Δ KMeans ARI,Δ Silhouette label,Δ cLISI,Δ BRAS,Δ iLISI,Δ KBET,Δ Graph connectivity,Δ PCR comparison,Δ Batch correction,Δ Bio conservation,Δ Total
Rxrx3C,DINO C,104166,736,9,0.001304388,0.00037643132857312356,-1.5073049828446487e-05,-0.00013685226,1.8000603e-05,0.0033447742,0.022384882,0.007181178534534038,-0.0015096555901604886,0.9244274410233932,0.19116572403744986,0.0003093719482421542,0.0766519127839253
Rxrx3C,DINO CD,104166,736,9,0.00033012033,0.0006352841978750634,-9.698755955922424e-05,-0.00021091104,1.3828278e-05,0.0032789707,0.023107588,0.009060835293663305,-0.0004627814503966321,0.9113104679517582,0.18925900423998654,0.0001342773437500444,0.07578416810224464
Rxrx3C,DINO S,104166,736,9,0.00041395426,8.877646426941332e-05,-4.135800190183765e-05,-0.00024619699,1.3053417e-05,0.0010014772,0.009596407,0.00016742972897829111,-0.0007598611670546936,0.9287963288062179,0.1877603444836991,4.568099975588158e-05,0.07513154639333314
Rxrx3C,DINO SD,104166,736,9,0.0028547943,-3.6346123225394766e-05,-6.169155617046819e-05,-0.00027489662,-1.2516975e-05,0.00095552206,0.0095486045,0.00011321136690104622,0.00010056396463806877,0.9075666322331677,0.1836569068226948,0.0004938602447510099,0.07375907887592859
Rxrx3C,OpenPhenom C,104166,736,9,-0.00018745661,0.00035647193764010154,9.279409772412176e-05,-0.00031214952,1.7285347e-06,0.0014036894,0.0115664005,0.0016334133441639614,0.00019677746573473764,0.8635711419582087,0.1756742606942464,-9.727478027354852e-06,0.07026386779088212
Rxrx3C,OpenPhenom CD,104166,736,9,0.0003593266,0.00021731226256166414,8.041347707796014e-06,-8.171797e-05,-1.9073486e-06,0.00092989206,0.009352088,0.001426005942398079,0.00018774497204824755,0.8567668647658012,0.1737325310645163,0.00010023117065427467,0.06955315112819904
Rxrx3C,OpenPhenom S,104166,736,9,3.0249357e-05,-0.00021662167845551417,-5.308882006322779e-05,1.5199184e-06,-1.41859055e-05,0.0007766485,0.005819738,0.00011260270481858875,0.0001173775738087246,0.9004201480308134,0.18144931486934662,-5.044937133785732e-05,0.07254945632493592
Rxrx3C,OpenPhenom SD,104166,736,9,0.00033569336,0.0004546812049392446,-2.4239984539204187e-05,0.00017115474,2.3782253e-05,0.0006247759,0.0047083497,6.620670546586375e-05,-0.0001236259618292504,0.8379356141278468,0.16864227601348125,0.00019218921661373622,0.06757222393536078
Rxrx3C,SubCell C,104166,736,9,0.0013930798,0.0005223930765441143,9.724513499213567e-05,-0.00047168136,4.798174e-05,0.0048900247,0.020251632,0.024807513010478788,0.0011743048057194505,0.9268790250976213,0.19560051178344745,0.0003178119659423828,0.07843089189294439
Rxrx3C,SubCell CD,104166,736,9,1.3411045e-06,0.0009007431432879187,-2.4149581755285657e-06,-0.0004491806,1.835823e-05,0.0040947795,0.020129383,0.011487852735080462,-0.0007106348908295507,0.9156015608083596,0.19012056430901325,9.374618530272327e-05,0.07610447343478693
Rxrx3C,SubCell S,104166,736,9,0.00013390183,0.0011242257637060216,7.84401275202649e-05,-1.7940998e-05,-8.404255e-06,0.0011162162,0.0052958727,-0.0012553562298261572,-0.0010985885978348764,0.948520683207463,0.1905157535292319,0.0002620220184326172,0.07636351462275232
Rxrx3C,SubCell SD,104166,736,9,0.00050342083,0.0002969171156861905,5.303466603094305e-05,-2.7388334e-05,-1.0430813e-05,0.0012879372,0.0056547523,-0.000645204349901278,-3.3070620698030795e-05,0.9393675704170098,0.1891264088939697,0.00016307830810546875,0.07574841054245113
