dataset,config,n_obs,n_perts,n_batches,Δ Isolated labels,Δ KMeans NMI,Δ KMeans ARI,Δ Silhouette label,Δ cLISI,Δ BRAS,Δ iLISI,Δ KBET,Δ Graph connectivity,Δ PCR comparison,Δ Batch correction,Δ Bio conservation,Δ Total
JUMP,DINO C,28003,1467,10,-0.056378126,0.008457011253447666,0.006705101732509005,0.003618896,0.000870049,0.109975755,0.019319654,0.035893180422943885,0.0018181693687539524,0.8005147347838367,0.19350429866025468,-0.007345390319824174,0.07299448527220742
JUMP,DINO CD,28003,1467,10,-0.05023858,0.003121242302481786,0.00398531762481537,0.007602453,0.00072044134,0.14154899,0.0130222505,0.04034350824134171,0.005831534595534177,0.7886259856931028,0.19787445274197596,-0.006961822509765625,0.07497268759093095
JUMP,DINO S,28003,1467,10,0.00056123734,0.004239734841725795,0.0026418352215801045,-0.005767286,0.0005276203,0.11523384,0.006692158,0.028699299194368366,0.013363474268359793,0.6431776211940974,0.1614332808623649,0.0004405975341796875,0.06483767086545378
JUMP,DINO SD,28003,1467,10,-0.016659439,-0.005685054724207328,0.0015733554943661594,-0.0031520128,0.00087565184,0.17158407,0.03653815,0.02817429655260461,0.008036488963535787,0.8399320167617892,0.21685301113917965,-0.004609489440917991,0.08397551079112109
JUMP,OpenPhenom C,28003,1467,10,-0.034365207,0.003443130363365854,0.0007685189809954088,-0.007825077,0.0005195737,0.18426666,0.024371875,0.01840477406566344,0.008161127960614245,0.6288692418660308,0.17281473258819988,-0.007491779327392589,0.06463082543884441
JUMP,OpenPhenom CD,28003,1467,10,-0.038095802,-0.0015415358759177655,0.0005505701452541479,-0.021274924,0.0006275177,0.21351877,0.03713849,0.020379663859074096,0.010704837966153902,0.6656441731022106,0.18947718110861086,-0.011946821212768577,0.06862277971578323
JUMP,OpenPhenom S,28003,1467,10,-0.059340864,-0.010589191062744863,0.0001029984728262625,-0.005370438,0.0003055334,0.17566195,0.115065284,0.008705316289974178,0.000218142927174661,0.6003399193897189,0.17999812130662438,-0.014978361129760753,0.06301223184479332
JUMP,OpenPhenom SD,28003,1467,10,-0.041585326,-0.017550344429707876,0.00012864466217843125,-0.030438542,0.00047004223,0.24331728,0.15389721,0.002405405068833265,0.00047896745443416766,0.798516105223658,0.23972299000815583,-0.017795085906982422,0.08521214445907288
JUMP,SubCell C,28003,1467,10,-0.053702086,0.005364429993646169,0.006662207390037207,0.00025308132,0.0009852052,0.09161711,0.02678413,0.03668118582458625,-0.00019555655009154127,0.7816839438702283,0.18731416050525687,-0.008087444305419855,0.07007319761885084
JUMP,SubCell CD,28003,1467,10,-0.022656053,0.006861398408738673,0.005557280487156615,-0.005391985,0.0008767843,0.08317649,0.01975588,0.042281417148377756,0.002183388156215188,0.7153985911000235,0.17255915799109786,-0.0029505252838134544,0.06725334802615113
JUMP,SubCell S,28003,1467,10,-0.02692914,0.0022332885994016394,0.005970706574670637,-0.00518167,0.00057148933,0.0947476,0.016679777,0.02855579422937219,0.008033096717668914,0.6757296831209776,0.16474918816031395,-0.004667043685913086,0.0630994490525777
JUMP,SubCell SD,28003,1467,10,-0.0023829937,0.0018465809609753414,0.004355143823956327,0.00092741847,0.0005004406,0.10931122,0.011366976,0.0292164266626268,0.0060121498459071165,0.649829768569285,0.161147306298889,0.0010493278503417858,0.06508851922976061
